Unnamed: 0,Year,Records,Organization type,Method
329,2011,1270000.0,media,cyber attack
330,2013,160000.0,government,cyber attack
331,2020,270000000.0,technology,cyber attack
332,2020,30000000.0,retail,cyber attack
333,2016,43430316.0,technology,cyber attack
335,2019,98000.0,financial,cyber attack
338,2011,62000.0,technology,cyber attack
339,2015,6054459.0,technology,social engineering
340,2013,3000000000.0,technology,cyber attack
341,2014,500000000.0,technology,cyber attack
342,2013,22000000.0,"tech, web",cyber attack
343,2012,450000.0,technology,cyber attack
344,2010,43000.0,academic,accidentally published
345,2020,4000000.0,social media,security failure
346,2012,24000000.0,technology,cyber attack
347,2019,173000000.0,social media,cyber attack
348,2020,200000000.0,financial,accidentally published
349,2020,391250.0,healthcare,security failure
350,2022,6400000.0,various,security failure
351,2022,95000.0,retail,accidentally published
